n,i,ni,day
60000000,8514,1635,1
60000000,10590,1872,2
60000000,12839,2274,3
60000000,14955,2705,4
60000000,17750,3407,5
60000000,20603,4144,6
60000000,23073,4907,7
60000000,26062,5444,8
60000000,28710,7003,9
60000000,33190,7845,10
60000000,37860,9161,11
60000000,42681,10897,12
60000000,46638,12500,13
60000000,50418,13509,14
60000000,54030,15146,15
60000000,57521,16865,16
60000000,62013,18526,17
60000000,66414,20084,18
60000000,70065,22407,19
60000000,73880,23809,20
60000000,75528,26211,21
60000000,77635,28157,22
60000000,80572,30002,23
60000000,83049,32193,24
60000000,85388,34439,25
60000000,88274,36358,26
60000000,91246,37702,27
60000000,93187,39360,28
60000000,94067,41519,29
60000000,95262,44160,30
60000000,96877,46749,31
60000000,98273,49304,32
60000000,100269,52002,33
60000000,102253,54110,34
60000000,103616,55900,35
60000000,104291,58197,36
60000000,105418,59737,37
60000000,106607,62334,38
60000000,106962,65472,39
60000000,107771,68154,40
60000000,108257,70715,41
60000000,108237,72991,42
60000000,107709,76248,43
60000000,107699,79628,44
60000000,106848,83125,45
